date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:09:20	57503/57503	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20May%202022%2011:09:47%20GMT	http://www.dbpengineering.co.in/assets/images/products/product15.jpg	F:/pd/www.dbpengineering.co.in/assets/images/products/product15.jpg	(from http://www.dbpengineering.co.in/products.html)
17:09:27	427784/427784	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20May%202022%2013:00:45%20GMT	http://www.dbpengineering.co.in/assets/images/page-bg/products.jpg	F:/pd/www.dbpengineering.co.in/assets/images/page-bg/products.jpg	(from http://www.dbpengineering.co.in/products.html)
17:09:30	75734/75734	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20May%202022%2011:03:36%20GMT	http://www.dbpengineering.co.in/assets/images/products/product17.jpg	F:/pd/www.dbpengineering.co.in/assets/images/products/product17.jpg	(from http://www.dbpengineering.co.in/products.html)
17:09:33	183072/183072	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20May%202022%2010:52:15%20GMT	http://www.dbpengineering.co.in/assets/images/products/product14.jpg	F:/pd/www.dbpengineering.co.in/assets/images/products/product14.jpg	(from http://www.dbpengineering.co.in/products.html)
17:09:37	57624/57624	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20May%202022%2012:53:26%20GMT	http://www.dbpengineering.co.in/assets/images/products/product3.jpg	F:/pd/www.dbpengineering.co.in/assets/images/products/product3.jpg	(from http://www.dbpengineering.co.in/byous.html)
17:09:46	99134/99134	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20May%202022%2013:06:16%20GMT	http://www.dbpengineering.co.in/assets/images/page-bg/cement-silo.jpg	F:/pd/www.dbpengineering.co.in/assets/images/page-bg/cement-silo.jpg	(from http://www.dbpengineering.co.in/cement-silo.html)
17:09:51	191657/191657	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20May%202022%2008:28:45%20GMT	http://www.dbpengineering.co.in/assets/images/page-bg/Byous-banner.jpg	F:/pd/www.dbpengineering.co.in/assets/images/page-bg/Byous-banner.jpg	(from http://www.dbpengineering.co.in/byous.html)
17:09:58	42608/42608	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20May%202022%2008:58:00%20GMT	http://www.dbpengineering.co.in/assets/images/page-bg/ss-ball.jpg	F:/pd/www.dbpengineering.co.in/assets/images/page-bg/ss-ball.jpg	(from http://www.dbpengineering.co.in/ss-ball.html)
17:10:04	108382/108382	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20May%202022%2011:11:24%20GMT	http://www.dbpengineering.co.in/assets/images/products/product7.jpg	F:/pd/www.dbpengineering.co.in/assets/images/products/product7.jpg	(from http://www.dbpengineering.co.in/dished-end.html)
17:10:10	228271/228271	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20May%202022%2008:54:28%20GMT	http://www.dbpengineering.co.in/assets/images/page-bg/dished-end.jpg	F:/pd/www.dbpengineering.co.in/assets/images/page-bg/dished-end.jpg	(from http://www.dbpengineering.co.in/dished-end.html)
17:10:19	125393/125393	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20May%202022%2009:02:18%20GMT	http://www.dbpengineering.co.in/assets/images/page-bg/ss-ball-fitup.jpg	F:/pd/www.dbpengineering.co.in/assets/images/page-bg/ss-ball-fitup.jpg	(from http://www.dbpengineering.co.in/ss-ball-fitup.html)
